"NOME DO BEM","VALOR","PRAZO","1ª PARCELA","PLANO","TIPO DE VENDA",""
"CR4303 - AUTOMÓVEL LEVE 50% - R$ 40.000,00","R$ 40.000,00","96","R$ 314,52","40 - PLANO EXCLUSIVO 50%","51 - PARCELA LINEAR",""
"CR4044 - AUTOMÓVEL LEVE R$ 40.000,00","R$ 40.000,00","96","R$ 522,84","3000 - GRUPO 3000 PARTICIPANTES","114 - LINEAR",""
"CR4078 - AUTOMÓVEL LEVE R$ 45.000,00","R$ 45.000,00","96","R$ 1.033,52","3000 - GRUPO 3000 PARTICIPANTES","62 - PARCELA GRADUAL",""
"CR4220 - AUTOMÓVEL LEVE 70% - R$ 45.000,00","R$ 45.000,00","96","R$ 447,57","21 - PLANO EXCLUSIVO 70%","51 - PARCELA LINEAR",""
"CR4304 - AUTOMÓVEL LEVE 50% - R$ 45.000,00","R$ 45.000,00","96","R$ 353,84","40 - PLANO EXCLUSIVO 50%","51 - PARCELA LINEAR",""
"CR4078 - AUTOMÓVEL LEVE R$ 45.000,00","R$ 45.000,00","96","R$ 588,20","3000 - GRUPO 3000 PARTICIPANTES","114 - LINEAR",""
"CR4304 - AUTOMÓVEL LEVE 50% - R$ 45.000,00","R$ 45.000,00","96","R$ 799,16","40 - PLANO EXCLUSIVO 50%","62 - PARCELA GRADUAL",""
"CR4220 - AUTOMÓVEL LEVE 70% - R$ 45.000,00","R$ 45.000,00","96","R$ 892,89","21 - PLANO EXCLUSIVO 70%","62 - PARCELA GRADUAL",""
"CR4218 - AUTOMÓVEL LEVE 70% - R$ 50.000,00","R$ 50.000,00","96","R$ 992,10","21 - PLANO EXCLUSIVO 70%","62 - PARCELA GRADUAL",""
"CR4046 - AUTOMÓVEL LEVE R$ 50.000,00","R$ 50.000,00","96","R$ 1.148,35","3000 - GRUPO 3000 PARTICIPANTES","62 - PARCELA GRADUAL",""
"CR4305 - AUTOMÓVEL LEVE 50% - R$ 50.000,00","R$ 50.000,00","96","R$ 393,15","40 - PLANO EXCLUSIVO 50%","51 - PARCELA LINEAR",""
"CR4046 - AUTOMÓVEL LEVE R$ 50.000,00","R$ 50.000,00","96","R$ 653,55","3000 - GRUPO 3000 PARTICIPANTES","114 - LINEAR",""
"CR4218 - AUTOMÓVEL LEVE 70% - R$ 50.000,00","R$ 50.000,00","96","R$ 497,30","21 - PLANO EXCLUSIVO 70%","51 - PARCELA LINEAR",""
"CR4305 - AUTOMÓVEL LEVE 50% - R$ 50.000,00","R$ 50.000,00","96","R$ 887,95","40 - PLANO EXCLUSIVO 50%","62 - PARCELA GRADUAL",""
